MasterFile,KABCO,County,RT_UNIQUE,Milepoint,Latitude,Longitude,MannerofCollision,CollisionDate,CollisionTime,CollisionYear,RdwyConditionCode,Weather,Human_Factors,Environmental_Factors,Vehicular_Factors,Mode
72592093,O,PIKE,098-CS-1222  -000,0.094,37.47448621,-82.52570267,OPPOSING LEFT TURN,20210125,1258,2021,WET,CLEAR,INATTENTION,,,
72604322,O,PIKE,098-CS-1222  -000,0.118,37.47464128,-82.52527579,SIDESWIPE-SAME DIRECTION,20210312,1842,2021,DRY,CLEAR,"ALCOHOL INVOLVEMENT, DRUG INVOLVEMENT",,,
72681116,O,PIKE,098-CS-1222  -000,0.151,37.47483794,-82.52476549,SIDESWIPE-OPPOSITE DIRECTION,20211010,1337,2021,DRY,CLEAR,DRUG INVOLVEMENT,,,
72685968,O,PIKE,098-CS-1222  -000,0.243,37.47557037,-82.52338918,REAR END,20211021,742,2021,DRY,CLEAR,,,,
73017960,O,PIKE,098-CS-1222  -000,0.307,37.47624544,-82.5225833,OPPOSING LEFT TURN,20240306,1933,2024,WET,RAINING,INATTENTION,,,
72838195,O,PIKE,098-CS-1222  -000,0.313,37.476317,-82.52251057,REAR END,20221201,801,2022,DRY,CLEAR,,,,
72661833,O,PIKE,098-CS-1222  -000,0.34,37.47660545,-82.52217475,SIDESWIPE-SAME DIRECTION,20210817,852,2021,WET,CLOUDY,DRUG INVOLVEMENT,,,
72762661,C,PIKE,098-CS-1222  -000,0.349,37.47673248,-82.52210977,SINGLE VEHICLE,20220423,1330,2022,DRY,CLEAR,,,,PEDESTRIAN
73028782,O,PIKE,098-CS-1222  -000,0.376,37.4770552,-82.52171983,ANGLE,20240411,1435,2024,WET,CLOUDY,INATTENTION,,,
73221869,O,PIKE,098-CS-1222  -000,0.377,37.47704513,-82.52176385,ANGLE,20250818,1616,2025,DRY,CLEAR,INATTENTION,,,
72660856,O,PIKE,098-CS-1222  -000,0.378,37.47704042,-82.52175094,REAR END,20210819,1522,2021,WET,RAINING,,,,
72808285,O,PIKE,098-CS-1222  -000,0.38,37.47705945,-82.52173177,ANGLE,20220920,618,2022,DRY,CLEAR,INATTENTION,,,
72863906,O,PIKE,098-CS-1222  -000,0.383,37.47709873,-82.5216975,REAR END,20230209,825,2023,DRY,CLEAR,INATTENTION,,,
73246443,C,PIKE,098-CS-1222  -000,0.384,37.47711104,-82.52168109,ANGLE,20251014,1533,2025,DRY,CLEAR,,,,
73129918,C,PIKE,098-CS-1222  -000,0.386,37.47713327,-82.52166185,SINGLE VEHICLE,20241212,754,2024,WET,CLOUDY,INATTENTION,,,PEDESTRIAN
73237771,O,PIKE,098-CS-1222  -000,0.431,37.4776376,-82.52114451,REAR END,20250922,1859,2025,DRY,CLEAR,,,,
72853392,O,PIKE,098-CS-1222  -000,0.434,37.47766611,-82.52111302,SIDESWIPE-SAME DIRECTION,20230111,1546,2023,DRY,CLEAR,INATTENTION,,,
72663378,O,PIKE,098-CS-1222  -000,0.439,37.47772004,-82.52105338,SIDESWIPE-SAME DIRECTION,20210825,1425,2021,DRY,CLEAR,,,,
73011577,O,PIKE,098-CS-1222  -000,0.443,37.47777375,-82.52100535,SIDESWIPE-SAME DIRECTION,20240224,2151,2024,DRY,CLOUDY,"ALCOHOL INVOLVEMENT, INATTENTION",,,
72982699,O,PIKE,098-CS-1222  -000,0.446,37.47780147,-82.52096081,SIDESWIPE-SAME DIRECTION,20231110,1510,2023,DRY,CLEAR,,,,
